HOTELID,NAME,CITY,COUNTRY
1,,data,beijing
2,,data,chicago
3,,data,las-vegas
4,,data,london
5,,data,montreal
6,,data,new-delhi
7,,data,new-york-city
8,,data,san-francisco
9,,data,shanghai
10,aloft-beijing-haidian,beijing,china
11,ascott-beijing,beijing,china
12,autumn-garden-courtyard-hotel,beijing,china
13,bamboo-garden-hotel,beijing,china
14,beijing-century-towers,beijing,china
15,beijing-dong-fang-hotel,beijing,china
16,beijing-far-east-international-youth-hostel,beijing,china
17,beijing-friendship-hotel-grand-building,beijing,china
18,beijing-guangming-hotel,beijing,china
19,beijing-hotel,beijing,china
20,beijing-international-hotel,beijing,china
21,beijing-jade-international-youth-hostel,beijing,china
22,beijing-sihe-courtyard-hotel,beijing,china
23,bohao-radegast-hotel-beijing,beijing,china
24,capital-hotel-beijing,beijing,china
25,china-world-hotel,beijing,china
26,city-hotel-beijing,beijing,china
27,commune-by-the-great-wall-kempinski,beijing,china
28,courtyard-7,beijing,china
29,courtyard-by-marriott,beijing,china
30,courtyard-by-marriott-beijing-northeast,beijing,china
31,crowne-plaza-hotel-beijing,beijing,china
32,crowne-plaza-hotel-zhongguancun,beijing,china
33,crowne-plaza-international-airport-hotel-beijing,beijing,china
34,crowne-plaza-park-view-wuzhou,beijing,china
35,crowne-plaza-sun-palace-beijing,beijing,china
36,days-inn-forbidden-city-beijing,beijing,china
37,days-inn-joiest-beijing,beijing,china
38,doubletree-by-hilton-beijing,beijing,china
39,double-happiness-courtyard-hotel,beijing,china
40,empark-grand-hotel,beijing,china
41,fujian-hotel,beijing,china
42,gloria-plaza-hotel-beijing,beijing,china
43,grand-hotel-beijing,beijing,china
44,grand-hyatt-beijing,beijing,china
45,grand-mercure-hotel-xidan,beijing,china
46,grand-millennium-beijing,beijing,china
47,grand-view-garden-hotel,beijing,china
48,guangzhou-hotel,beijing,china
49,harmony-hotel,beijing,china
50,hebei-hotel-beijing,beijing,china
51,hilton-beijing,beijing,china
52,hilton-beijing-wangfujing,beijing,china
53,holiday-inn-beijing-lido,beijing,china
54,holiday-inn-central-plaza,beijing,china
55,holiday-inn-chang-an-west,beijing,china
56,holiday-inn-downtown-beijing,beijing,china
57,holiday-inn-express-beijing-minzuyuan,beijing,china
58,holiday-inn-express-beijing-temple-of-heaven,beijing,china
59,holiday-inn-express-beijing-wangjing,beijing,china
60,holiday-inn-temple-of-heaven,beijing,china
61,hollyear-hotel-beijing,beijing,china
62,hotel-cote-cour-beijing,beijing,china
63,hotel-g,beijing,china
64,hotel-ibis-beijing-sanyuan,beijing,china
65,hotel-kunlun,beijing,china
66,hotel-new-otani-chang-fu-gong,beijing,china
67,howard-johnson-paragon,beijing,china
68,huadu-hotel,beijing,china
69,hwa-apartment-hotel,beijing,china
70,intercontinental-beijing-beichen,beijing,china
71,intercontinental-financial-street-beijing,beijing,china
72,jade-garden-hotel,beijing,china
73,jianguo-hotel-qianmen-beijing,beijing,china
74,jian-guo-hotel,beijing,china
75,jinqiao-international-apartment-hotel,beijing,china
76,joy-city-hotel,beijing,china
77,jw-marriott-hotel-beijing,beijing,china
78,kapok-hotel,beijing,china
79,kellys-courtyard,beijing,china
80,kempinski-hotel-beijing-lufthansa-center,beijing,china
81,kuntai-royal-hotel,beijing,china
82,lee-garden-service-apartment-beijing,beijing,china
83,legendale-hotel-beijing,beijing,china
84,loong-palace-hotel-resort,beijing,china
85,luxury-serviced-residence,beijing,china
86,marco-polo-parkside-hotel,beijing,china
87,marriott-beijing-hotel-west,beijing,china
88,marriott-executive-apartments-sandalwood,beijing,china
89,marriott-hotel-beijing-city-wall,beijing,china
90,mercure-wanshang-beijing,beijing,china
91,michael-s-house-in-beijing,beijing,china
92,motel-268-beijing-wangfujing,beijing,china
93,new-world-hotel-jing-guang,beijing,china
94,nikko-new-century-beijing-hotel,beijing,china
95,novotel-peace-hotel,beijing,china
96,novotel-xinqiao-beijing,beijing,china
97,oakwood-residence-beijing,beijing,china
98,orange-hotel-beijing-asia-games-village,beijing,china
99,oriental-bay-international-hotel,beijing,china
100,oriental-culture-hotel,beijing,china
101,oriental-garden-hotel,beijing,china
102,palm-springs-beijing-marriott-executive-apartments,beijing,china
103,park-hyatt-beijing,beijing,china
104,park-plaza-beijing-wangfujing,beijing,china
105,peixin-hotel-beijing,beijing,china
106,plaza-hotel-beijing,beijing,china
107,prime-hotel,beijing,china
108,pullman-beijing-west-wanda,beijing,china
109,qianyuan-international-business-hotel,beijing,china
110,raffles-beijing-hotel,beijing,china
111,renaissance-beijing-capital-hotel,beijing,china
112,renaissance-beijing-hotel,beijing,china
113,shangri-la-hotel-beijing,beijing,china
114,shangri-la-kerry-centre-hotel,beijing,china
115,shatan-hotel,beijing,china
116,sofitel-wanda-beijing,beijing,china
117,soluxe-sunshine-courtyard-hotel,beijing,china
118,somerset-zhongguancun,beijing,china
119,spring-garden-courtyard-hotel,beijing,china
120,sunworld-hotel-beijing,beijing,china
121,swissotel-beijing,beijing,china
122,templeside-deluxe-hutong-house-hotel,beijing,china
123,the-aman-at-summer-palace,beijing,china
124,the-emperor,beijing,china
125,the-opposite-house,beijing,china
126,the-peninsula-beijing,beijing,china
127,the-regent-beijing,beijing,china
128,the-ritz-carlton-beijing-financial-street,beijing,china
129,the-ritz-carlton-huamao-center,beijing,china
130,the-st-regis-beijing,beijing,china
131,the-westin-beijing-chaoyang,beijing,china
132,the-westin-beijing-financial-street,beijing,china
133,tianlun-dynasty-hotel,beijing,china
134,tianrui-beijing,beijing,china
135,tiantan-hotel,beijing,china
136,traders-hotel,beijing,china
137,traders-upper-east-hotel,beijing,china
138,wangfujing-grand-hotel,beijing,china
139,xinhai-jinjiang-hotel,beijing,china
140,xinyuan-inn,beijing,china
141,xixi-friendship-hotel,beijing,china
142,xiyuan-hotel,beijing,china
143,xi-jiao-hotel-beijing,beijing,china
144,yi-hai-business-hotel,beijing,china
145,zhong-an-inn-zhong-an-hotel,beijing,china
146,abbott-hotel,chicago,usa
147,affinia-chicago,chicago,usa
148,allerton-hotel,chicago,usa
149,amalfi-hotel-chicago,chicago,usa
150,ambassador-east-hotel,chicago,usa
151,amber-inn,chicago,usa
152,avenue-hotel-chicago,chicago,usa
153,belair-hotel,chicago,usa
154,belden-stratford-hotel,chicago,usa
155,bellwood-hotel,chicago,usa
156,best-western-grant-park-hotel,chicago,usa
157,best-western-hawthorne-terrace,chicago,usa
158,best-western-river-north-chicago-downtown-hotel,chicago,usa
159,buckingham-athletic-club,chicago,usa
160,carlton-inn-midway,chicago,usa
161,central-loop-hotel,chicago,usa
162,chateau-hotel,chicago,usa
163,chicago-lodge,chicago,usa
164,chicago-marriott-at-medical-district-uic,chicago,usa
165,chicago-marriott-o-hare,chicago,usa
166,chicago-o-hare-garden-hotel,chicago,usa
167,chicago-south-loop-hotel,chicago,usa
168,chicago-s-essex-inn,chicago,usa
169,chinatown-hotel,chicago,usa
170,city-suites-hotel,chicago,usa
171,club-quarters-chicago-central-loop,chicago,usa
172,club-quarters-chicago-wacker-at-michigan,chicago,usa
173,comfort-inn-suites-downtown,chicago,usa
174,comfort-suites,chicago,usa
175,congress-plaza-hotel,chicago,usa
176,conrad-chicago,chicago,usa
177,courtyard-by-marriott-chicago-downtown,chicago,usa
178,courtyard-by-marriott-chicago-downtown-magnificent-mile,chicago,usa
179,courtyard-chicago-midway-airport,chicago,usa
180,crowne-plaza-chicago-the-metro,chicago,usa
181,dana-hotel-spa,chicago,usa
182,days-inn-chicago,chicago,usa
183,delaware-towers,chicago,usa
184,doubletree-hotel-chicago-magnificent-mile,chicago,usa
185,embassy-suites-hotel-chicago-downtown,chicago,usa
186,embassy-suites-hotel-chicago-downtown-lakefront,chicago,usa
187,extended-stay-america-chicago-skokie,chicago,usa
188,fairfield-inn-chicago-midway-airport,chicago,usa
189,fairfield-inn-suites-chicago-downtown,chicago,usa
190,fairmont-chicago-millennium-park,chicago,usa
191,four-points-by-sheraton-chicago-downtown-magnificent-mile,chicago,usa
192,four-points-by-sheraton-chicago-midway-airport,chicago,usa
193,four-points-by-sheraton-chicago-o-hare-airport,chicago,usa
194,four-seasons-hotel-chicago,chicago,usa
195,habitat-corporate-suites-at-presidential-towers,chicago,usa
196,hampton-inn-and-suites-chicago-downtown,chicago,usa
197,hampton-inn-majestic-chicago,chicago,usa
198,hard-rock-hotel-chicago,chicago,usa
199,heart-o-chicago-motel,chicago,usa
200,hilton-chicago,chicago,usa
201,hilton-chicago-o-hare-airport,chicago,usa
202,hilton-garden-inn-chicago-downtown-magnificent-mile,chicago,usa
203,hilton-suites-chicago-magnificent-mile,chicago,usa
204,holiday-inn-chicago-mart-plaza,chicago,usa
205,holiday-inn-chicago-midway-airport,chicago,usa
206,holiday-inn-chicago-o-hare,chicago,usa
207,holiday-inn-express-chicago-midway-airport,chicago,usa
208,holiday-inn-hotel-suites-downtown,chicago,usa
209,homewood-suites-by-hilton-chicago-downtown,chicago,usa
210,hotel-71,chicago,usa
211,hotel-allegro-chicago-a-kimpton-hotel,chicago,usa
212,hotel-blake,chicago,usa
213,hotel-burnham-a-kimpton-hotel,chicago,usa
214,hotel-cass-holiday-inn-express,chicago,usa
215,hotel-felix,chicago,usa
216,hotel-indigo-chicago-downtown-gold-coast,chicago,usa
217,hotel-monaco-chicago-a-kimpton-hotel,chicago,usa
218,hotel-sax-chicago,chicago,usa
219,howard-johnson-inn-downtown-chicago,chicago,usa
220,hyatt-regency-chicago,chicago,usa
221,hyatt-regency-mccormick-place,chicago,usa
222,inn-at-lincoln-park,chicago,usa
223,inn-of-chicago-magnificent-mile,chicago,usa
224,intercontinental-chicago,chicago,usa
225,james-chicago,chicago,usa
226,la-quinta-inn-suites-chicago-downtown,chicago,usa
227,la-quinta-inn-suites-chicago-northshore,chicago,usa
228,majestic-hotel,chicago,usa
229,marriott-chicago-downtown-magnificent-mile,chicago,usa
230,marriott-chicago-midway,chicago,usa
231,midway-inn,chicago,usa
232,millennium-knickerbocker-hotel-chicago,chicago,usa
233,milshire-hotel,chicago,usa
234,oakwood-apartments,chicago,usa
235,ohio-house-motel,chicago,usa
236,omni-chicago-hotel,chicago,usa
237,palwaukee-inn-conference-center,chicago,usa
238,park-hyatt-chicago,chicago,usa
239,ramada-inn-lake-shore-chicago,chicago,usa
240,red-roof-inn,chicago,usa
241,renaissance-chicago-hotel,chicago,usa
242,renaissance-chicago-o-hare-suites-hotel,chicago,usa
243,residence-inn-chicago-downtown,chicago,usa
244,residence-inn-chicago-downtown-river-north,chicago,usa
245,residence-inn-chicago-midway,chicago,usa
246,river-hotel,chicago,usa
247,ruby-room,chicago,usa
248,seneca-hotel,chicago,usa
249,sheffield-house,chicago,usa
250,sheraton-chicago-hotel-and-towers,chicago,usa
251,sheraton-chicago-northwest,chicago,usa
252,skylark-motel,chicago,usa
253,sofitel-chicago-water-tower,chicago,usa
254,springhill-suites-chicago-downtown-river-north,chicago,usa
255,springhill-suites-chicago-o-hare,chicago,usa
256,super-8-chicago-loyola-university,chicago,usa
257,super-8-chicago-o-hare-south,chicago,usa
258,swissotel-chicago,chicago,usa
259,thewit-hotel,chicago,usa
260,the-blackstone-a-renaissance-hotel,chicago,usa
261,the-drake,chicago,usa
262,the-fisher-building,chicago,usa
263,the-palmer-house-hilton,chicago,usa
264,the-peninsula-chicago,chicago,usa
265,the-raffaello-hotel,chicago,usa
266,the-ritz-carlton-chicago-a-four-seasons-hotel,chicago,usa
267,the-silversmith-hotel-suites,chicago,usa
268,the-sutton-place-hotel,chicago,usa
269,the-talbott-hotel,chicago,usa
270,the-tremont-chicago,chicago,usa
271,the-westin-chicago-river-north,chicago,usa
272,the-westin-michigan-avenue-chicago,chicago,usa
273,the-whitehall-hotel,chicago,usa
274,the-willows,chicago,usa
275,travelodge-chicago-downtown,chicago,usa
276,trump-international-hotel-tower-chicago,chicago,usa
277,union-league-club,chicago,usa
278,westin-chicago-northwest,chicago,usa
279,wheeler-mansion,chicago,usa
280,willows-hotel-chicago,chicago,usa
281,wyndham-chicago,chicago,usa
282,w-chicago-city-center,chicago,usa
283,w-chicago-lakeshore,chicago,usa
284,alexis-park-resort,las-vegas,usa
285,americana-5,las-vegas,usa
286,americas-best-value-inn,las-vegas,usa
287,americas-best-value-inn-las-vegas,las-vegas,usa
288,arizona-charlie-s-boulder-casino-hotel,las-vegas,usa
289,arizona-charlie-s-decatur,las-vegas,usa
290,artisan-hotel,las-vegas,usa
291,aruba-hotel,las-vegas,usa
292,atrium-suites-hotel-las-vegas,las-vegas,usa
293,aztec-inn,las-vegas,usa
294,a-fishers-inn,las-vegas,usa
295,bally-s-las-vegas-hotel-casino,las-vegas,usa
296,bellagio-las-vegas,las-vegas,usa
297,bel-aire-west,las-vegas,usa
298,best-western-main-street-inn,las-vegas,usa
299,best-western-mardi-gras-hotel-casino,las-vegas,usa
300,best-western-mccarran-inn,las-vegas,usa
301,best-western-nellis-motor-inn,las-vegas,usa
302,best-western-parkview-inn,las-vegas,usa
303,bill-s-gamblin-hall-saloon,las-vegas,usa
304,binion-s-horseshoe-hotel-casino-las-vegas,las-vegas,usa
305,blair-house-suites,las-vegas,usa
306,boulder-station-hotel-and-casino,las-vegas,usa
307,budget-suites-of-america-las-vegas,las-vegas,usa
308,budget-suites-of-america-north-rancho-drive,las-vegas,usa
309,budget-suites-of-america-stardust-road,las-vegas,usa
310,budget-suites-of-america-tropicana-i-15,las-vegas,usa
311,budget-suites-of-america-wynn,las-vegas,usa
312,caesars-palace-classic-hotel,las-vegas,usa
313,california-hotel,las-vegas,usa
314,cancun-resort,las-vegas,usa
315,candlewood-suites-las-vegas,las-vegas,usa
316,casino-royale-and-hotel,las-vegas,usa
317,circus-circus-hotel-casino-las-vegas,las-vegas,usa
318,circus-circus-manor-motor-lodge,las-vegas,usa
319,clarion-emerald-springs,las-vegas,usa
320,cliffs-at-peace-canyon,las-vegas,usa
321,club-de-soleil,las-vegas,usa
322,comfort-inn,las-vegas,usa
323,comfort-inn-suites-las-vegas,las-vegas,usa
324,courtyard-by-marriott-las-vegas-convention-center,las-vegas,usa
325,courtyard-by-marriott-las-vegas-south,las-vegas,usa
326,courtyard-by-marriott-las-vegas-summerlin,las-vegas,usa
327,crestwood-suites-las-vegas-boulevard,las-vegas,usa
328,crestwood-suites-las-vegas-flamingo,las-vegas,usa
329,desert-paradise-resort,las-vegas,usa
330,desert-rose-resort,las-vegas,usa
331,doubletree-club-hotel-las-vegas-airport,las-vegas,usa
332,downtowner-motel,las-vegas,usa
333,eastside-cannery-casino-hotel,las-vegas,usa
334,econo-lodge,las-vegas,usa
335,element-by-westin-las-vegas-summerlin,las-vegas,usa
336,el-cortez-cabana-suites,las-vegas,usa
337,el-cortez-hotel-casino,las-vegas,usa
338,embassy-suites-hotel-convention-center-paradise-road-las-vegas,las-vegas,usa
339,embassy-suites-las-vegas-airport,las-vegas,usa
340,emerald-suites,las-vegas,usa
341,emerald-suites-cameron,las-vegas,usa
342,emerald-suites-tropicana,las-vegas,usa
343,encore-at-wynn-las-vegas,las-vegas,usa
344,excalibur-hotel-casino,las-vegas,usa
345,extended-stayamerica-las-vegas-boulder-hwy,las-vegas,usa
346,extended-stayamerica-las-vegas-valley-view,las-vegas,usa
347,extended-stay-deluxe-las-vegas-east-flamingo,las-vegas,usa
348,fairfield-inn-las-vegas-airport,las-vegas,usa
349,fairfield-inn-suites-las-vegas-south,las-vegas,usa
350,falcon-ridge-hotel,las-vegas,usa
351,fiesta-hotel-and-casino,las-vegas,usa
352,fitzgeralds-casino-hotel,las-vegas,usa
353,flamingo-hotel-casino,las-vegas,usa
354,four-queens-hotel-and-casino,las-vegas,usa
355,four-seasons-hotel-las-vegas,las-vegas,usa
356,fremont-hotel-and-casino,las-vegas,usa
357,golden-gate-hotel-casino,las-vegas,usa
358,golden-nugget,las-vegas,usa
359,golden-palm-hotel,las-vegas,usa
360,gold-coast-hotel-and-casino,las-vegas,usa
361,gold-spike-hotel-and-casino,las-vegas,usa
362,grandview-at-las-vegas,las-vegas,usa
363,greek-isles-hotel-casino,las-vegas,usa
364,hampton-inn-las-vegas-summerlin,las-vegas,usa
365,hampton-inn-suites-las-vegas-airport,las-vegas,usa
366,hampton-inn-suites-las-vegas-west-summerlin,las-vegas,usa
367,hampton-inn-tropicana,las-vegas,usa
368,hard-rock-hotel-and-casino,las-vegas,usa
369,harrah-s-las-vegas-casino-hotel,las-vegas,usa
370,hilton-garden-inn-las-vegas-strip-south,las-vegas,usa
371,hilton-grand-vacations-club-at-the-flamingo-las-vegas,las-vegas,usa
372,hilton-grand-vacations-suites-on-the-las-vegas-strip,las-vegas,usa
373,hilton-grand-vacation-suites-las-vegas-convention-center,las-vegas,usa
374,holiday-inn-express-hotel-and-suites-las-vegas-215-beltway,las-vegas,usa
375,holiday-inn-express-las-vegas-nellis,las-vegas,usa
376,holiday-inn-express-las-vegas-south,las-vegas,usa
377,holiday-inn-express-the-lakes-las-vegas,las-vegas,usa
378,holiday-motel,las-vegas,usa
379,homestead-studio-suites-las-vegas-midtown,las-vegas,usa
380,homewood-suites-las-vegas-airport,las-vegas,usa
381,hooters-casino-hotel,las-vegas,usa
382,hotel32-at-monte-carlo,las-vegas,usa
383,howard-johnson-las-vegas-strip,las-vegas,usa
384,hyatt-place-las-vegas,las-vegas,usa
385,imperial-palace-hotel-casino,las-vegas,usa
386,jerry-s-nugget,las-vegas,usa
387,jockey-club,las-vegas,usa
388,jw-marriott-las-vegas-resort-spa-golf,las-vegas,usa
389,knights-inn,las-vegas,usa
390,knights-inn-las-vegas,las-vegas,usa
391,las-vegas-club-36,las-vegas,usa
392,las-vegas-club-casino-hotel,las-vegas,usa
393,las-vegas-hilton,las-vegas,usa
394,las-vegas-south-strip-travelodge,las-vegas,usa
395,la-quinta-inn-and-suites-las-vegas-west,las-vegas,usa
396,la-quinta-inn-and-suites-tropicana,las-vegas,usa
397,la-quinta-inn-las-vegas-airport,las-vegas,usa
398,la-quinta-inn-nellis,las-vegas,usa
399,la-quinta-summerlin-tech,las-vegas,usa
400,luxor-las-vegas,las-vegas,usa
401,main-street-station-hotel-casino,las-vegas,usa
402,malibu-bay-suites,las-vegas,usa
403,mandalay-bay-resort-casino,las-vegas,usa
404,manor-suites,las-vegas,usa
405,marriott-suites-las-vegas,las-vegas,usa
406,marriott-s-grand-chateau,las-vegas,usa
407,meridian-luxury-suites,las-vegas,usa
408,mgm-grand-hotel-and-casino,las-vegas,usa
409,microtel-inn-suites-las-vegas,las-vegas,usa
410,mirage-hotel-casino,las-vegas,usa
411,monte-carlo-resort-casino,las-vegas,usa
412,motel-6,las-vegas,usa
413,motel-6-las-vegas-boulder-highway,las-vegas,usa
414,motel-6-las-vegas-i-15,las-vegas,usa
415,motel-6-las-vegas-tropicana,las-vegas,usa
416,new-york-new-york-hotel-and-casino,las-vegas,usa
417,ogden-house-motel,las-vegas,usa
418,palace-station,las-vegas,usa
419,palms-place-hotel-spa,las-vegas,usa
420,paris-las-vegas-hotel,las-vegas,usa
421,planet-hollywood-resort-casino,las-vegas,usa
422,platinum-hotel-and-spa,las-vegas,usa
423,plaza-hotel-casino,las-vegas,usa
424,polo-towers,las-vegas,usa
425,primm-valley-resort-hotel-las-vegas,las-vegas,usa
426,red-rock-casino-resort-spa,las-vegas,usa
427,renaissance-las-vegas-hotel,las-vegas,usa
428,residence-inn-las-vegas-convention-center,las-vegas,usa
429,residence-inn-las-vegas-hughes-center,las-vegas,usa
430,residence-inn-las-vegas-south,las-vegas,usa
431,rio-suite-hotel-and-casino,las-vegas,usa
432,riviera-hotel-casino,las-vegas,usa
433,riviera-hotel-casino.rar,las-vegas,usa
434,rodeway-inn,las-vegas,usa
435,rodeway-inn-convention-center,las-vegas,usa
436,royal-vacation-suites-hotel-las-vegas,las-vegas,usa
437,sahara-hotel-casino,las-vegas,usa
438,sahara-westwood-hotel,las-vegas,usa
439,sam-s-town-hotel-and-gambling-hall,las-vegas,usa
440,santa-fe-station-hotel,las-vegas,usa
441,siegel-slots-and-suites,las-vegas,usa
442,siena-suites,las-vegas,usa
443,signature-at-mgm-grand,las-vegas,usa
444,silverton-hotel-and-casino,las-vegas,usa
445,skylofts-at-mgm-grand,las-vegas,usa
446,somerset-house-motel,las-vegas,usa
447,south-point-hotel-casino-and-spa,las-vegas,usa
448,sportsman-s-royal-manor,las-vegas,usa
449,springhill-suites-las-vegas-convention-center,las-vegas,usa
450,staybridge-suites-las-vegas,las-vegas,usa
451,stratosphere-hotel-casino-and-tower,las-vegas,usa
452,summer-bay-resorts-las-vegas-desert-club,las-vegas,usa
453,summer-bay-resort-las-vegas,las-vegas,usa
454,suncoast-hotel-and-casino,las-vegas,usa
455,super-8-las-vegas,las-vegas,usa
456,super-8-las-vegas-boulder-highway,las-vegas,usa
457,super-8-las-vegas-nellis-afb,las-vegas,usa
458,super-8-motel-las-vegas-downtown,las-vegas,usa
459,tahiti-vacation-club,las-vegas,usa
460,tahiti-village,las-vegas,usa
461,terrible-s-hotel-casino,las-vegas,usa
462,texas-station-gambling-hall-and-hotel,las-vegas,usa
463,thehotel-at-mandalay-bay,las-vegas,usa
464,the-carriage-house,las-vegas,usa
465,the-mansion-at-mgm-grand,las-vegas,usa
466,the-orleans-hotel-casino,las-vegas,usa
467,the-palazzo-resort-hotel-casino,las-vegas,usa
468,the-palms-casino-hotel,las-vegas,usa
469,the-resort-on-mount-charleston,las-vegas,usa
470,the-suites,las-vegas,usa
471,the-suites-boulder-strip,las-vegas,usa
472,the-westin-casuarina-las-vegas-hotel-casino-spa,las-vegas,usa
473,tod-motor-motel,las-vegas,usa
474,town-and-country-manor-iii,las-vegas,usa
475,travelodge-ambassador-strip-inn,las-vegas,usa
476,travelsuites-inn,las-vegas,usa
477,treasure-island-ti-hotel-casino,las-vegas,usa
478,tropicana-inn,las-vegas,usa
479,tropicana-resort-and-casino,las-vegas,usa
480,trump-international-hotel-tower-las-vegas,las-vegas,usa
481,tuscany-suites-casino,las-vegas,usa
482,venetian-resort-hotel-casino,las-vegas,usa
483,viva-las-vegas-villas,las-vegas,usa
484,western-hotel-casino,las-vegas,usa
485,whiskey-pete-s-casino-and-hotel,las-vegas,usa
486,wild-wild-west-gambling-hall-and-hotel,las-vegas,usa
487,wingate-by-wyndham-henderson,las-vegas,usa
488,worldmark-tropicana,las-vegas,usa
489,wyndham-grand-desert,las-vegas,usa
490,wynn-las-vegas,las-vegas,usa
491,130-queensgate-london-apartments,london,uk
492,190-bermondsey-street,london,uk
493,196-bishopsgate,london,uk
494,1-lexham-gardens,london,uk
495,22-jermyn-street,london,uk
496,39-suites,london,uk
497,44-curzon-street-apartments,london,uk
498,51-buckingham-gate-taj-suites-and-residences,london,uk
499,51-kensington-court-limited,london,uk
500,54-boutique-hotel,london,uk
501,abba-queen-s-gate-hotel,london,uk
502,abbey-court-hotel,london,uk
503,abbey-court-hyde-park,london,uk
504,abbey-lodge-hotel,london,uk
505,abcone-hotel,london,uk
506,abc-hyde-park-hotel,london,uk
507,ace-hotel,london,uk
508,admiral-hotel,london,uk
509,adria-hotel,london,uk
510,airways-hotel,london,uk
511,albany-hotel-london,london,uk
512,albion-house-hotel,london,uk
513,albro-house,london,uk
514,alexander-hotel-london,london,uk
515,alexander-house-hotel,london,uk
516,alexandra-hotel,london,uk
517,alhambra-hotel,london,uk
518,allen-house-luxury-serviced-apartments,london,uk
519,ambassadors-hotel,london,uk
520,ambassadors-hotel-in-bloomsbury,london,uk
521,americana-hotel,london,uk
522,amsterdam-hotel,london,uk
523,andaz-london,london,uk
524,andrews-house-hotel,london,uk
525,annexe-hotel,london,uk
526,antoinette-hotel-wimbledon,london,uk
527,an-nur-anna-hotel,london,uk
528,apex-city-of-london,london,uk
529,apex-london-wall-hotel,london,uk
530,apollo-hotel-bayswater,london,uk
531,aquarius-hotel,london,uk
532,arosfa,london,uk
533,arriva-hotel,london,uk
534,ascott-mayfair,london,uk
535,ashburn-hotel,london,uk
536,ashley-hotel,london,uk
537,aspen-suites-hyde-park,london,uk
538,astons-apartments,london,uk
539,astor-court-hotel,london,uk
540,athenaeum-hotel-apartments,london,uk
541,athena-hotel,london,uk
542,avalon-private-hotel,london,uk
543,averard-hotel,london,uk
544,avni-hotel-at-courtfield,london,uk
545,avni-kensington,london,uk
546,avni-luxury-serviced-apartments,london,uk
547,avonmore,london,uk
548,avonmore-hotel,london,uk
549,avon-hotel,london,uk
550,a-to-z-hotel,london,uk
551,baglioni-hotel-london,london,uk
552,bakers-hotel,london,uk
553,bankside-house,london,uk
554,barkston-garden-hotel-kensington,london,uk
555,base2stay-kensington,london,uk
556,bayswater-inn,london,uk
557,beaver-hotel,london,uk
558,bedford-hotel,london,uk
559,belgrave-hotel,london,uk
560,belgrave-house-hotel,london,uk
561,belmont-astoria-hotels,london,uk
562,belsize-park-hotel,london,uk
563,bentinck-house-hotel,london,uk
564,berjaya-eden-park-hotel,london,uk
565,berkeley-court,london,uk
